material_id,crystal_system,space_group,theoretical,reduction_limit,oxidation_limit,reduction_reaction,oxidation_reaction,formula_pretty,chemsys,nsites,energy_above_hull,band_gap,is_stable
mp-1194722,Monoclinic,P2_1/c,False,0.26,6.16,4 KLiTmF5 -> 4 KTmF4 + 4 LiF,4 KLiTmF5 -> 2 KF3 + 2 KTm2F7 + 4 Li,KLiTmF5,F-K-Li-Tm,32,0.0,7.38,False
mp-29025,Orthorhombic,Immm,False,0.0,0.53,Li5Br2N -> Li5Br2N,Li5Br2N -> 2 LiBr + 0.3333 LiN3 + 2.667 Li,Li5Br2N,Br-Li-N,8,0.0,2.08,True
mp-570935,Hexagonal,P6_3mc,False,0.0,2.84,2 LiI -> 2 LiI,2 LiI -> 2 I + 2 Li,LiI,I-Li,4,0.0,4.38,True
mp-6499,Monoclinic,P2_1/c,False,0.26,3.6,4 BaLiBO3 -> 4 BaLiBO3,4 BaLiBO3 -> 2 Ba2B2O5 + 0.25 LiO8 + 3.75 Li,BaLiBO3,B-Ba-Li-O,24,0.0,4.13,True
mp-10620,Monoclinic,P2_1/c,False,0.0,2.88,4 LiPrO2 -> 2 Li2O + 2 Pr2O3,4 LiPrO2 -> Li2O2 + 2 Pr2O3 + 2 Li,LiPrO2,Li-O-Pr,16,0.01,3.53,False
mp-11737,Triclinic,P-1,False,0.26,3.36,2 Li4SiO4 -> 2 Li4SiO4,2 Li4SiO4 -> 2 Li2SiO3 + 0.25 LiO8 + 3.75 Li,Li4SiO4,Li-O-Si,18,0.0,4.78,True
mp-10971,Tetragonal,I4_1/amd,False,0.0,2.99,2 LiErO2 -> 2 LiErO2,2 LiErO2 -> 0.5 Li2O2 + Er2O3 + Li,LiErO2,Er-Li-O,8,0.01,4.17,False
mp-606680,Orthorhombic,Immm,True,0.0,2.96,CsLi2Br3 -> 2 LiBr + CsBr,CsLi2Br3 -> CsBr3 + 2 Li,CsLi2Br3,Br-Cs-Li,6,0.01,4.28,False
mp-569085,Monoclinic,P2_1/c,False,0.0,0.53,2 Li6Br3N -> 2 Li5Br2N + 2 LiBr,2 Li6Br3N -> 6 LiBr + 0.6667 LiN3 + 5.333 Li,Li6Br3N,Br-Li-N,20,0.02,2.18,False
mp-756648,Monoclinic,P2_1/c,True,0.0,2.88,4 LiNdO2 -> 2 Li2O + 2 Nd2O3,4 LiNdO2 -> Li2O2 + 2 Nd2O3 + 2 Li,LiNdO2,Li-Nd-O,16,0.01,3.86,False
mp-570756,Monoclinic,Cm,True,0.0,4.3,Cs3Li2Cl5 -> 2 CsLiCl2 + CsCl,Cs3Li2Cl5 -> Cl2 + 3 CsCl + 2 Li,Cs3Li2Cl5,Cl-Cs-Li,10,0.03,5.09,False
mp-28603,Orthorhombic,Pnma,False,0.28,1.85,4 NaLiSe -> 4 NaLiSe,4 NaLiSe -> 4 NaSe + 4 Li,NaLiSe,Li-Na-Se,12,0.0,2.44,True
mp-1104857,Monoclinic,C2/m,False,0.01,0.64,Sr3Li4(SiN3)2 -> Sr3Li4(SiN3)2,Sr3Li4(SiN3)2 -> 2 SrSiN2 + SrN2 + 4 Li,Sr3Li4(SiN3)2,Li-N-Si-Sr,15,0.0,2.11,True
mp-28243,Orthorhombic,Cmcm,False,0.0,4.27,2 RbLiCl2 -> 2 LiCl + 2 RbCl,2 RbLiCl2 -> Cl2 + 2 RbCl + 2 Li,RbLiCl2,Cl-Li-Rb,8,0.0,5.15,False
mp-8754,Orthorhombic,Pnma,False,0.13,1.56,4 NaLiTe -> 4 NaLiTe,4 NaLiTe -> 1.6 Na2Te + 0.8 NaTe3 + 4 Li,NaLiTe,Li-Na-Te,12,0.0,2.28,True
mp-1020627,Triclinic,P-1,False,0.14,0.77,4 SrLiAl3N4 -> 4 SrLiAl3N4,4 SrLiAl3N4 -> Sr3Al3N5 + SrN2 + 9 AlN + 4 Li,SrLiAl3N4,Al-Li-N-Sr,36,0.0,2.97,True
mp-9250,Tetragonal,P4/nmm,False,0.24,1.68,2 RbLiSe -> 2 RbLiSe,2 RbLiSe -> 2 RbSe + 2 Li,RbLiSe,Li-Rb-Se,6,0.0,2.31,True
mp-1020592,Tetragonal,P4/mnc,False,0.01,1.22,2 Sr4Li2Si4N8O -> 2 Sr4Li2Si4N8O,2 Sr4Li2Si4N8O -> 6.773 SrSiN2 + 0.2273 SrN6 + 0.5 Sr2SiO4 + 0.3636 LiSi2N3 + 3.636 Li,Sr4Li2Si4N8O,Li-N-O-Si-Sr,38,0.0,2.18,True
mp-753769,Monoclinic,Pm,True,0.02,2.86,Sr3Li3La5O12 -> 1.5 Li2O + 3 SrO + 2.5 La2O3,Sr3Li3La5O12 -> 1.5 SrO + 1.5 SrO2 + 2.5 La2O3 + 3 Li,Sr3Li3La5O12,La-Li-O-Sr,23,0.04,2.98,False
mp-761869,Monoclinic,Pm,True,0.02,2.86,3 Sr3Li3La5O12 -> 4.5 Li2O + 9 SrO + 7.5 La2O3,3 Sr3Li3La5O12 -> 4.5 SrO + 4.5 SrO2 + 7.5 La2O3 + 9 Li,Sr3Li3La5O12,La-Li-O-Sr,69,0.04,3.02,False
mp-28237,Orthorhombic,Cmcm,False,0.0,3.67,2 RbLiBr2 -> 2 LiBr + 2 RbBr,2 RbLiBr2 -> RbBr3 + RbBr + 2 Li,RbLiBr2,Br-Li-Rb,8,0.0,4.32,False
mp-9723,Cubic,Im-3m,False,0.0,1.39,Sr4Li(BN2)3 -> Sr4Li(BN2)3,Sr4Li(BN2)3 -> 0.0625 SrN6 + 1.313 Sr3(BN2)2 + 0.375 BN + Li,Sr4Li(BN2)3,B-Li-N-Sr,14,0.0,2.07,True
mp-569782,Cubic,Fd-3m,False,0.0,2.14,4 Sr2LiCBr3N2 -> 4 Sr2LiCBr3N2,4 Sr2LiCBr3N2 -> 2 SrCN2 + 6 SrBr2 + 2 N2 + 2 C + 4 Li,Sr2LiCBr3N2,Br-C-Li-N-Sr,36,0.0,3.97,True
mp-1191141,Trigonal,P3_121,False,0.24,3.46,3 SrLi2SiO4 -> 3 SrLi2SiO4,3 SrLi2SiO4 -> 0.375 LiO8 + 3 SrSiO3 + 5.625 Li,SrLi2SiO4,Li-O-Si-Sr,24,0.0,4.64,True
mp-1037661,Tetragonal,P4/mmm,True,0.07,2.91,LiYMg30O32 -> LiYO2 + 30 MgO,LiYMg30O32 -> 0.25 Li2O2 + 0.5 Y2O3 + 30 MgO + 0.5 Li,LiYMg30O32,Li-Mg-O-Y,64,0.02,4.31,False
mp-1037656,Tetragonal,P4/mmm,True,0.07,2.91,LiYMg30O32 -> LiYO2 + 30 MgO,LiYMg30O32 -> 0.25 Li2O2 + 0.5 Y2O3 + 30 MgO + 0.5 Li,LiYMg30O32,Li-Mg-O-Y,64,0.02,4.34,False
mp-567371,Monoclinic,C2/m,False,0.26,0.74,Sr3Li4(GeN3)2 -> Sr3Li4(GeN3)2,Sr3Li4(GeN3)2 -> SrN2 + 2 SrGeN2 + 4 Li,Sr3Li4(GeN3)2,Ge-Li-N-Sr,15,0.0,2.05,True
mp-5840,Tetragonal,I4_1/amd,False,0.0,3.43,2 LiScO2 -> 2 LiScO2,2 LiScO2 -> Sc2O3 + 0.125 LiO8 + 1.875 Li,LiScO2,Li-O-Sc,8,0.0,3.9,True
